instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session
0.0176,7.8216,0,0,0,0,1,"In the following task, you are going to hear a series of conversations.", (press the space bar to continue),667e000c4bfb9ea4c3e01d66,Spanish,13 or older,"no, only English or Spanish",click here to respond,2025-07-23_16h37.08.278,empathy_intonation_perc,2024.2.4,Win32,60.24096386,667e000c4bfb9ea4c3e01d66,687ed1b7e638a4cbf2f02089,688147b552fc52027fea529d
7.824,13.2803,0,1,1,1,1,It is okay if you don't not 100% understand them!, (press the space bar to continue),667e000c4bfb9ea4c3e01d66,Spanish,13 or older,"no, only English or Spanish",click here to respond,2025-07-23_16h37.08.278,empathy_intonation_perc,2024.2.4,Win32,60.24096386,667e000c4bfb9ea4c3e01d66,687ed1b7e638a4cbf2f02089,688147b552fc52027fea529d
13.2827,27.8588,0,2,2,2,1,"After, you will read a sentence about the conversation and decide if it's true or false.", (press the space bar to continue),667e000c4bfb9ea4c3e01d66,Spanish,13 or older,"no, only English or Spanish",click here to respond,2025-07-23_16h37.08.278,empathy_intonation_perc,2024.2.4,Win32,60.24096386,667e000c4bfb9ea4c3e01d66,687ed1b7e638a4cbf2f02089,688147b552fc52027fea529d
27.864,35.463,0,3,3,3,1,"If it's true, press '1' (True) and if it's false press '0' (False).", (press the space bar to continue),667e000c4bfb9ea4c3e01d66,Spanish,13 or older,"no, only English or Spanish",click here to respond,2025-07-23_16h37.08.278,empathy_intonation_perc,2024.2.4,Win32,60.24096386,667e000c4bfb9ea4c3e01d66,687ed1b7e638a4cbf2f02089,688147b552fc52027fea529d
