instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,trial_exposure.started,trial_exposure.stopped,key_resp_exposure.keys,key_resp_exposure.corr,key_resp_exposure.rt,key_resp_exposure.duration,key_resp.keys,exposure_loop.thisRepN,exposure_loop.thisTrialN,exposure_loop.thisN,exposure_loop.thisIndex,exposure_loop.ran,item_num,correct_response,question,path,duration,instructions_2afc.started,instructions_2afc.stopped,instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,practice_2afc.started,practice_2afc.stopped,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,key_resp_2afc_practice.duration,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,check_2afc.started,check_2afc.stopped,trial_2afc.started,trial_2afc.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.duration,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,target,variety,instructions_lextale.started,instructions_lextale.stopped,instructions_lextale_loop.thisRepN,instructions_lextale_loop.thisTrialN,instructions_lextale_loop.thisN,instructions_lextale_loop.thisIndex,instructions_lextale_loop.ran,practice_lextale.started,practice_lextale.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,practice_feedback_lextale.started,practice_feedback_lextale.stopped,trials_lextale_practice_loop.thisRepN,trials_lextale_practice_loop.thisTrialN,trials_lextale_practice_loop.thisN,trials_lextale_practice_loop.thisIndex,trials_lextale_practice_loop.ran,stim,word,prac_button_real,prac_button_false,check_lextale.started,check_lextale.stopped,trial_lextale.started,trial_lextale.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,trials_lextale_loop.thisRepN,trials_lextale_loop.thisTrialN,trials_lextale_loop.thisN,trials_lextale_loop.thisIndex,trials_lextale_loop.ran,button_real,button_false,instructions_eq.started,instructions_eq.stopped,trial_eq.started,trial_eq.stopped,slider_eq_trial.response,trials_eq_loop.thisRepN,trials_eq_loop.thisTrialN,trials_eq_loop.thisN,trials_eq_loop.thisIndex,trials_eq_loop.ran,item,is_test_item,is_distractor,is_agree_score,is_disagree_score,end_exp.started,end_exp.stopped
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,58,0,,./stim/wavs/mexican_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,,,,,,,,,,,,,,,,,,,,,,408.4945,410.5956,0,1,1.575,,0,36,36,57,1,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,14,1,,./stim/wavs/mexican_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,,,,,,,,,,,,,,,,,,,,,,410.5969,413.0478,1,1,1.9221,,0,37,37,13,1,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,79,0,,./stim/wavs/mexican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,,,,,,,,,,,,,,,,,,,,,,413.0485,415.4668,0,1,1.894,,0,38,38,78,1,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,28,1,,./stim/wavs/castilian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,,,,,,,,,,,,,,,,,,,,,,415.4676,418.0524,0,0,2.0731,,0,39,39,27,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,23,1,,./stim/wavs/puertorican_match_interrogative-total-yn_Manuela-vende-el-carro.wav,,,,,,,,,,,,,,,,,,,,,,418.0534,420.5383,0,0,1.9709,,0,40,40,22,1,1,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,19,1,,./stim/wavs/puertorican_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,,,,,,,,,,,,,,,,,,,,,,420.539,422.6064,0,0,1.5345,,0,41,41,18,1,1,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,22,1,,./stim/wavs/puertorican_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,,,,,,,,,,,,,,,,,,,,,,422.6076,424.675,0,0,1.5355,,0,42,42,21,1,1,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,37,1,,./stim/wavs/mexican_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,,,,,,,,,,,,,,,,,,,,,,424.676,427.3609,1,1,2.1697,,0,43,43,36,1,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,53,0,,./stim/wavs/cuban_match_declarative-broad-focus_Manuela-vende-el-carro.wav,,,,,,,,,,,,,,,,,,,,,,427.3615,429.7464,0,1,1.8691,,0,44,44,52,1,0,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5f91a6bf59acc003a749718a,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_00h58.21.103,empathy_intonation_perc,2024.2.4,Linux armv81,59.88023952,5f91a6bf59acc003a749718a,687ed1b7e638a4cbf2f02089,68806b0f73bf4ee22fdb7022,,,,,,,,,,,,,56,0,,./stim/wavs/cuban_match_declarative-broad-focus_Marta-abre-el-regalo.wav,,,,,,,,,,,,,,,,,,,,,,429.7472,431.8156,0,1,1.5565,,0,45,45,55,1,0,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
