instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session
0.0305,17.1017,0,0,0,0,1,"In the following task, you are going to hear a series of conversations.", (press the space bar to continue),5fc880e2e2e6de210e008e1b,Spanish,younger than 13,"no, only English or Spanish",no,2026-01-21_11h16.34.035,empathy_intonation_perc,2024.2.4,Win32,60.24096386,5fc880e2e2e6de210e008e1b,6967d75d9f4867d525f9ffbe,6970fbb0885ec8847b970881
17.1033,48.092,0,1,1,1,1,It is okay if you don't not 100% understand them!, (press the space bar to continue),5fc880e2e2e6de210e008e1b,Spanish,younger than 13,"no, only English or Spanish",no,2026-01-21_11h16.34.035,empathy_intonation_perc,2024.2.4,Win32,60.24096386,5fc880e2e2e6de210e008e1b,6967d75d9f4867d525f9ffbe,6970fbb0885ec8847b970881
48.0963,49.7759,0,2,2,2,1,"After, you will read a sentence about the conversation and decide if it's true or false.", (press the space bar to continue),5fc880e2e2e6de210e008e1b,Spanish,younger than 13,"no, only English or Spanish",no,2026-01-21_11h16.34.035,empathy_intonation_perc,2024.2.4,Win32,60.24096386,5fc880e2e2e6de210e008e1b,6967d75d9f4867d525f9ffbe,6970fbb0885ec8847b970881
49.7818,51.811,0,3,3,3,1,"If it's true, press '1' (True) and if it's false press '0' (False).", (press the space bar to continue),5fc880e2e2e6de210e008e1b,Spanish,younger than 13,"no, only English or Spanish",no,2026-01-21_11h16.34.035,empathy_intonation_perc,2024.2.4,Win32,60.24096386,5fc880e2e2e6de210e008e1b,6967d75d9f4867d525f9ffbe,6970fbb0885ec8847b970881
