instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,trial_exposure.started,trial_exposure.stopped,key_resp_exposure.keys,key_resp_exposure.corr,key_resp_exposure.rt,key_resp_exposure.duration,key_resp.keys,exposure_loop.thisRepN,exposure_loop.thisTrialN,exposure_loop.thisN,exposure_loop.thisIndex,exposure_loop.ran,item_num,correct_response,question,path,duration,instructions_2afc.started,instructions_2afc.stopped,instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,practice_2afc.started,practice_2afc.stopped,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,key_resp_2afc_practice.duration,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,check_2afc.started,check_2afc.stopped,trial_2afc.started,trial_2afc.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.duration,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,target,variety,instructions_lextale.started,instructions_lextale.stopped,instructions_lextale_loop.thisRepN,instructions_lextale_loop.thisTrialN,instructions_lextale_loop.thisN,instructions_lextale_loop.thisIndex,instructions_lextale_loop.ran,practice_lextale.started,practice_lextale.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,practice_feedback_lextale.started,practice_feedback_lextale.stopped,trials_lextale_practice_loop.thisRepN,trials_lextale_practice_loop.thisTrialN,trials_lextale_practice_loop.thisN,trials_lextale_practice_loop.thisIndex,trials_lextale_practice_loop.ran,stim,word,prac_button_real,prac_button_false,check_lextale.started,check_lextale.stopped,trial_lextale.started,trial_lextale.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,trials_lextale_loop.thisRepN,trials_lextale_loop.thisTrialN,trials_lextale_loop.thisN,trials_lextale_loop.thisIndex,trials_lextale_loop.ran,button_real,button_false,instructions_eq.started,instructions_eq.stopped,trial_eq.started,trial_eq.stopped,slider_eq_trial.response,trials_eq_loop.thisRepN,trials_eq_loop.thisTrialN,trials_eq_loop.thisN,trials_eq_loop.thisIndex,trials_eq_loop.ran,item,is_test_item,is_distractor,is_agree_score,is_disagree_score,end_exp.started,end_exp.stopped
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,81,0,,./stim/wavs/mexican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,,,,,,,,,,,,,,,,,,,,,,360.737,361.913,1,0,0.375,,0,21,21,80,1,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,7,1,,./stim/wavs/cuban_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,,,,,,,,,,,,,,,,,,,,,,361.914,364.468,1,1,1.82,,0,22,22,6,1,1,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,51,0,,./stim/wavs/cuban_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,,,,,,,,,,,,,,,,,,,,,,364.469,367.415,1,0,2.189,,0,23,23,50,1,0,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,1,1,,./stim/wavs/castilian_match_interrogative-total-yn_David-leia-el-libro.wav,,,,,,,,,,,,,,,,,,,,,,367.416,378.327,1,1,10.106,,0,24,24,0,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,70,0,,./stim/wavs/castilian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,,,,,,,,,,,,,,,,,,,,,,378.328,381.626,1,0,2.537,,0,25,25,69,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,23,1,,./stim/wavs/puertorican_match_interrogative-total-yn_Manuela-vende-el-carro.wav,,,,,,,,,,,,,,,,,,,,,,381.627,382.779,1,1,0.239,,0,26,26,22,1,1,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,32,1,,./stim/wavs/cuban_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,,,,,,,,,,,,,,,,,,,,,,382.78,384.367,1,1,0.831,0.001,0,27,27,31,1,1,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,77,0,,./stim/wavs/cuban_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,,,,,,,,,,,,,,,,,,,,,,384.368,385.709,1,0,0.485,,0,28,28,76,1,0,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,67,0,,./stim/wavs/puertorican_match_declarative-broad-focus_Manuela-vende-el-carro.wav,,,,,,,,,,,,,,,,,,,,,,385.71,386.893,1,0,0.358,,0,29,29,66,1,0,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,10,1,,./stim/wavs/cuban_match_interrogative-total-yn_Maria-bebe-el-vino.wav,,,,,,,,,,,,,,,,,,,,,,386.894,388.148,1,1,0.407,,0,30,30,9,1,1,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,27,1,,./stim/wavs/castilian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,,,,,,,,,,,,,,,,,,,,,,388.149,389.188,1,1,0.208,,0,31,31,26,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,73,0,,./stim/wavs/castilian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,,,,,,,,,,,,,,,,,,,,,,389.189,390.231,1,0,0.197,,0,32,32,72,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,65,0,,./stim/wavs/puertorican_match_declarative-broad-focus_David-leia-el-libro.wav,,,,,,,,,,,,,,,,,,,,,,390.232,391.359,1,0,0.239,0,0,33,33,64,1,0,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,49,0,,./stim/wavs/castilian_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,,,,,,,,,,,,,,,,,,,,,,391.361,392.384,1,0,0.205,,0,34,34,48,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,79,0,,./stim/wavs/mexican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,,,,,,,,,,,,,,,,,,,,,,392.385,393.435,1,0,0.201,,0,35,35,78,1,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,3,1,,./stim/wavs/castilian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,,,,,,,,,,,,,,,,,,,,,,393.436,394.624,1,1,0.424,,0,36,36,2,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,34,1,,./stim/wavs/cuban_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia.wav,,,,,,,,,,,,,,,,,,,,,,394.624,396.89,1,1,1.521,,0,37,37,33,1,1,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,50,0,,./stim/wavs/castilian_match_declarative-broad-focus_Marta-abre-el-regalo.wav,,,,,,,,,,,,,,,,,,,,,,396.892,404.743,1,0,7.056,,0,38,38,49,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,5,1,,./stim/wavs/castilian_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,,,,,,,,,,,,,,,,,,,,,,404.743,407.934,1,1,2.31,,0,39,39,4,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,17,1,,./stim/wavs/mexican_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,,,,,,,,,,,,,,,,,,,,,,407.935,410.477,1,1,1.783,,0,40,40,16,1,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,45,0,,./stim/wavs/castilian_match_declarative-broad-focus_David-leia-el-libro.wav,,,,,,,,,,,,,,,,,,,,,,410.478,415.323,1,0,4.108,,0,41,41,44,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,30,1,,./stim/wavs/cuban_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,,,,,,,,,,,,,,,,,,,,,,415.325,418.514,1,1,2.366,,0,42,42,29,1,1,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66f4390df2bca2eee3129f28,spanish,13 or older,click here to respond,click here to respond,2025-08-12_14h02.20.283,empathy_intonation_perc,2024.2.4,Win32,7.507507508,66f4390df2bca2eee3129f28,687ed1b7e638a4cbf2f02089,689b80f54d3eed40c97e9cb9,,,,,,,,,,,,,8,1,,./stim/wavs/cuban_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,,,,,,,,,,,,,,,,,,,,,,418.515,420.07,1,1,0.768,,0,43,43,7,1,1,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
