instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,trial_exposure.started,trial_exposure.stopped,key_resp_exposure.keys,key_resp_exposure.corr,key_resp_exposure.rt,key_resp_exposure.duration,key_resp.keys,exposure_loop.thisRepN,exposure_loop.thisTrialN,exposure_loop.thisN,exposure_loop.thisIndex,exposure_loop.ran,item_num,correct_response,question,path,duration
0.0104,9.368,0,0,0,0,1,"In the following task, you are going to hear a series of conversations.", (press the space bar to continue),5f6aacb57829231956ac4fdc,Spanish,younger than 13,"no, only English or Spanish",no,2025-08-15_09h23.02.304,empathy_intonation_perc,2024.2.4,Win32,60.97560976,5f6aacb57829231956ac4fdc,689ed6d1281858f68c932c05,689f33429ceb4c0173dd4ad7,,,,,,,,,,,,,,,,,
9.369,11.0037,0,1,1,1,1,It is okay if you don't not 100% understand them!, (press the space bar to continue),5f6aacb57829231956ac4fdc,Spanish,younger than 13,"no, only English or Spanish",no,2025-08-15_09h23.02.304,empathy_intonation_perc,2024.2.4,Win32,60.97560976,5f6aacb57829231956ac4fdc,689ed6d1281858f68c932c05,689f33429ceb4c0173dd4ad7,,,,,,,,,,,,,,,,,
11.0044,12.8005,0,2,2,2,1,"After, you will read a sentence about the conversation and decide if it's true or false.", (press the space bar to continue),5f6aacb57829231956ac4fdc,Spanish,younger than 13,"no, only English or Spanish",no,2025-08-15_09h23.02.304,empathy_intonation_perc,2024.2.4,Win32,60.97560976,5f6aacb57829231956ac4fdc,689ed6d1281858f68c932c05,689f33429ceb4c0173dd4ad7,,,,,,,,,,,,,,,,,
12.8017,16.3012,0,3,3,3,1,"If it's true, press '1' (True) and if it's false press '0' (False).", (press the space bar to continue),5f6aacb57829231956ac4fdc,Spanish,younger than 13,"no, only English or Spanish",no,2025-08-15_09h23.02.304,empathy_intonation_perc,2024.2.4,Win32,60.97560976,5f6aacb57829231956ac4fdc,689ed6d1281858f68c932c05,689f33429ceb4c0173dd4ad7,,,,,,,,,,,,,,,,,
,,,,,,,,,5f6aacb57829231956ac4fdc,Spanish,younger than 13,"no, only English or Spanish",no,2025-08-15_09h23.02.304,empathy_intonation_perc,2024.2.4,Win32,60.97560976,5f6aacb57829231956ac4fdc,689ed6d1281858f68c932c05,689f33429ceb4c0173dd4ad7,16.3058,67.2046,1,1,3.8528,,,0,0,0,0,1,1,1,The son asked the mom if Aunt Marina is okay.,./stim/exposure_wavs/ga_stimuli_convo.wav,47
