instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session
0.0305,1.8717,0,0,0,0,1,"In the following task, you are going to hear a series of conversations.", (press the space bar to continue),63d13cb81a0a88a3ce29e33f,Spanish,13 or older,click here to respond,yes,2025-08-12_14h34.01.470,empathy_intonation_perc,2024.2.4,Win32,60.24096386,63d13cb81a0a88a3ce29e33f,687ed1b7e638a4cbf2f02089,689b88fbcc71fad530b3d045
1.873,3.437,0,1,1,1,1,It is okay if you don't not 100% understand them!, (press the space bar to continue),63d13cb81a0a88a3ce29e33f,Spanish,13 or older,click here to respond,yes,2025-08-12_14h34.01.470,empathy_intonation_perc,2024.2.4,Win32,60.24096386,63d13cb81a0a88a3ce29e33f,687ed1b7e638a4cbf2f02089,689b88fbcc71fad530b3d045
3.4406,5.5705,0,2,2,2,1,"After, you will read a sentence about the conversation and decide if it's true or false.", (press the space bar to continue),63d13cb81a0a88a3ce29e33f,Spanish,13 or older,click here to respond,yes,2025-08-12_14h34.01.470,empathy_intonation_perc,2024.2.4,Win32,60.24096386,63d13cb81a0a88a3ce29e33f,687ed1b7e638a4cbf2f02089,689b88fbcc71fad530b3d045
5.5744,7.1707,0,3,3,3,1,"If it's true, press '1' (True) and if it's false press '0' (False).", (press the space bar to continue),63d13cb81a0a88a3ce29e33f,Spanish,13 or older,click here to respond,yes,2025-08-12_14h34.01.470,empathy_intonation_perc,2024.2.4,Win32,60.24096386,63d13cb81a0a88a3ce29e33f,687ed1b7e638a4cbf2f02089,689b88fbcc71fad530b3d045
