instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session
0.008,2.919,0,0,0,0,1,"In the following task, you are going to hear a series of conversations.", (press the space bar to continue),5f8c70c9c8e71c0b49e49797,Latin American,13 or older,"no, only English or Spanish",no,2025-08-12_15h04.24.451,empathy_intonation_perc,2024.2.4,Win32,59.95203837,5f8c70c9c8e71c0b49e49797,687ed1b7e638a4cbf2f02089,689b8fe3bb334313cbbf6269
2.919,5.534,0,1,1,1,1,It is okay if you don't not 100% understand them!, (press the space bar to continue),5f8c70c9c8e71c0b49e49797,Latin American,13 or older,"no, only English or Spanish",no,2025-08-12_15h04.24.451,empathy_intonation_perc,2024.2.4,Win32,59.95203837,5f8c70c9c8e71c0b49e49797,687ed1b7e638a4cbf2f02089,689b8fe3bb334313cbbf6269
5.536,7.151,0,2,2,2,1,"After, you will read a sentence about the conversation and decide if it's true or false.", (press the space bar to continue),5f8c70c9c8e71c0b49e49797,Latin American,13 or older,"no, only English or Spanish",no,2025-08-12_15h04.24.451,empathy_intonation_perc,2024.2.4,Win32,59.95203837,5f8c70c9c8e71c0b49e49797,687ed1b7e638a4cbf2f02089,689b8fe3bb334313cbbf6269
7.152,8.702,0,3,3,3,1,"If it's true, press '1' (True) and if it's false press '0' (False).", (press the space bar to continue),5f8c70c9c8e71c0b49e49797,Latin American,13 or older,"no, only English or Spanish",no,2025-08-12_15h04.24.451,empathy_intonation_perc,2024.2.4,Win32,59.95203837,5f8c70c9c8e71c0b49e49797,687ed1b7e638a4cbf2f02089,689b8fe3bb334313cbbf6269
