Parameter,Median,HDI,% in ROPE,MPE,Rhat,ESS
Intercept,40.19,"[37.80, 42.47]",0.00,1.00,1.00,9099
Experimental group,1.22,"[-1.99, 4.48]",0.04,0.77,1.00,9237
