group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra,target,item,lextale_std,eq_std
1,55885869fdf99b4020ba0b64,0,1.874,0.5640000000000001,cuban,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynDaniel iba a Bolivia,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.747,0.637,cuban,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynEl hombre mira la luna,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.598,0.558,puertorican,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynAna lleva el abrigo,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,1.763,0.5429999999999999,cuban,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynMi tia odia la lluvia,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,2.385,0.9449999999999998,cuban,interrogative-total-yn,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynMariano habla del tiempo,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,2.041,0.6809999999999998,cuban,interrogative-total-yn,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynMi novio viene del lago,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,2.529,1.2189999999999999,puertorican,interrogative-total-yn,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynLa maestra vive en Paris,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,2.408,1.188,cuban,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynManuela vende el carro,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.718,0.498,puertorican,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynEl hombre mira la luna,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.691,0.5610000000000002,puertorican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynEl nino oye el rio,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,1.835,0.585,cuban,interrogative-total-yn,Marta abre el regalo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynMarta abre el regalo,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.89,0.8999999999999999,puertorican,interrogative-total-yn,David leia el libro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynDavid leia el libro,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,2.092,0.8420000000000001,puertorican,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynMi madre come la fruta,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.642,0.482,puertorican,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynManuela vende el carro,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,2.03,0.8299999999999998,puertorican,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynEmilio ama la marcha,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,1.523,0.393,cuban,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynAna lleva el abrigo,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.963,0.633,cuban,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynMaria bebe el vino,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,2.008,0.8680000000000001,puertorican,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynDaniel iba a Bolivia,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,1,1.625,0.625,puertorican,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynMaria bebe el vino,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,1.866,0.806,cuban,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynEl nino oye el rio,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,1.649,0.4890000000000001,puertorican,interrogative-total-yn,La nina lava el plato,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynLa nina lava el plato,-0.2543827478494662,-0.7121734107311283
1,55885869fdf99b4020ba0b64,0,1.901,0.631,cuban,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynMi madre come la fruta,-0.2543827478494662,-0.7121734107311283
1,55b8d0bffdf99b0f2859fe73,0,1.6374,0.49740000000000006,puertorican,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynDaniel iba a Bolivia,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.6375,0.38749999999999996,cuban,interrogative-total-yn,Marta abre el regalo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynMarta abre el regalo,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,1,2.0052,0.8752,puertorican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynEl nino oye el rio,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,1,1.6376,0.3275999999999999,cuban,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynDaniel iba a Bolivia,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,1,1.4186,0.3086,cuban,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynEl hombre mira la luna,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.7546,0.4845999999999999,cuban,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynMi madre come la fruta,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,1,1.5367,0.3167,puertorican,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynEl hombre mira la luna,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.6207,0.40070000000000006,cuban,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynMi tia odia la lluvia,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,2.523,1.0830000000000002,cuban,interrogative-total-yn,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynMariano habla del tiempo,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.6373,0.3873,puertorican,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynMi madre come la fruta,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,1,1.5367,0.4766999999999999,cuban,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynEl nino oye el rio,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.5538,0.39380000000000015,puertorican,interrogative-total-yn,La nina lava el plato,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynLa nina lava el plato,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.6213,0.2912999999999999,cuban,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynMaria bebe el vino,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.5376,0.3376000000000001,puertorican,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynEmilio ama la marcha,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.3375,0.2974999999999999,puertorican,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynAna lleva el abrigo,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.6374,0.4174,cuban,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynManuela vende el carro,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.4039,0.41389999999999993,puertorican,interrogative-total-yn,David leia el libro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynDavid leia el libro,-1.3508601092695791,1.911839156153857
1,55b8d0bffdf99b0f2859fe73,0,1.5709,0.41090000000000004,puertorican,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynManuela vende el carro,-1.3508601092695791,1.911839156153857
