group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra
1,55885869fdf99b4020ba0b64,1,2.007,0.5370000000000001,cuban,declarative-broad-focus,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.417,0.9469999999999998,castilian,declarative-broad-focus,La nina lava el plato,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.751,0.5609999999999999,mexican,declarative-broad-focus,El bebe comia muy bien,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.955,0.665,mexican,interrogative-total-yn,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.529,1.2189999999999999,puertorican,interrogative-total-yn,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.794,0.5940000000000001,mexican,declarative-broad-focus,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.408,1.188,cuban,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.813,0.623,mexican,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.231,1.031,puertorican,declarative-broad-focus,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.813,0.6929999999999998,mexican,declarative-broad-focus,Marta abre el regalo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.718,0.498,puertorican,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
