group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra,target,item,lextale_std,eq_std,caribbean,rt
0,5589be79fdf99b18be320155,1,1.7173,0.3873,mexican,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicaninterrogative-total-ynDaniel iba a Bolivia,0.041892983150900225,1.0621575983878655,0,1.7726
0,5589be79fdf99b18be320155,1,1.7838,0.3138000000000001,castilian,declarative-broad-focus,La nina lava el plato,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,castiliandeclarative-broad-focusLa nina lava el plato,0.041892983150900225,1.0621575983878655,0,1.6991
0,5589be79fdf99b18be320155,1,1.8044,0.2944,castilian,declarative-broad-focus,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,castiliandeclarative-broad-focusMi novio viene del lago,0.041892983150900225,1.0621575983878655,0,1.6797
0,5589be79fdf99b18be320155,1,1.7449,0.30489999999999995,castilian,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,castilianinterrogative-total-ynEmilio ama la marcha,0.041892983150900225,1.0621575983878655,0,1.6902
0,5589be79fdf99b18be320155,1,1.6834,0.37339999999999995,castilian,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,castilianinterrogative-total-ynMaria bebe el vino,0.041892983150900225,1.0621575983878655,0,1.7587
0,5589be79fdf99b18be320155,1,1.4908,0.3707999999999998,mexican,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicaninterrogative-total-ynEl hombre mira la luna,0.041892983150900225,1.0621575983878655,0,1.7560999999999998
0,5589be79fdf99b18be320155,1,1.3566,0.26659999999999995,mexican,declarative-broad-focus,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicandeclarative-broad-focusAna lleva el abrigo,0.041892983150900225,1.0621575983878655,0,1.6519
0,5589be79fdf99b18be320155,1,1.7629,0.3329,mexican,interrogative-total-yn,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicaninterrogative-total-ynLa maestra vive en Paris,0.041892983150900225,1.0621575983878655,0,1.7182
0,5589be79fdf99b18be320155,1,1.6602,0.2602,castilian,declarative-broad-focus,Marta abre el regalo,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,castiliandeclarative-broad-focusMarta abre el regalo,0.041892983150900225,1.0621575983878655,0,1.6455
0,5589be79fdf99b18be320155,1,1.6318,0.2717999999999998,mexican,interrogative-total-yn,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicaninterrogative-total-ynMariano habla del tiempo,0.041892983150900225,1.0621575983878655,0,1.6570999999999998
0,5589be79fdf99b18be320155,1,1.5726,0.28259999999999996,mexican,interrogative-total-yn,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicaninterrogative-total-ynMi novio viene del lago,0.041892983150900225,1.0621575983878655,0,1.6679
0,5589be79fdf99b18be320155,1,1.4643,0.32430000000000003,mexican,declarative-broad-focus,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicandeclarative-broad-focusMi tia odia la lluvia,0.041892983150900225,1.0621575983878655,0,1.7096
0,5589be79fdf99b18be320155,1,1.7602,0.3602000000000001,cuban,declarative-broad-focus,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,cubandeclarative-broad-focusMi novio viene del lago,0.041892983150900225,1.0621575983878655,1,1.7455
0,5589be79fdf99b18be320155,1,1.534,0.20399999999999996,cuban,declarative-broad-focus,Marta abre el regalo,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,cubandeclarative-broad-focusMarta abre el regalo,0.041892983150900225,1.0621575983878655,1,1.5893
0,5589be79fdf99b18be320155,1,1.3963,0.35630000000000006,puertorican,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,1,puertoricaninterrogative-total-ynAna lleva el abrigo,0.041892983150900225,1.0621575983878655,1,1.7416
0,5589be79fdf99b18be320155,1,1.3981,0.2681,puertorican,declarative-broad-focus,Maria bebe el vino,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,puertoricandeclarative-broad-focusMaria bebe el vino,0.041892983150900225,1.0621575983878655,1,1.6534
0,5589be79fdf99b18be320155,1,1.2799,0.27990000000000004,puertorican,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,1,puertoricaninterrogative-total-ynMaria bebe el vino,0.041892983150900225,1.0621575983878655,1,1.6652
0,5589be79fdf99b18be320155,1,1.4046,0.21460000000000012,mexican,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicaninterrogative-total-ynMi tia odia la lluvia,0.041892983150900225,1.0621575983878655,0,1.5999
0,5589be79fdf99b18be320155,1,1.4997,0.25970000000000004,cuban,declarative-broad-focus,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,cubandeclarative-broad-focusAna lleva el abrigo,0.041892983150900225,1.0621575983878655,1,1.645
0,5589be79fdf99b18be320155,1,1.4144,0.2644000000000002,mexican,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,mexicaninterrogative-total-ynAna lleva el abrigo,0.041892983150900225,1.0621575983878655,0,1.6497000000000002
0,5589be79fdf99b18be320155,1,1.6664,0.19640000000000013,cuban,declarative-broad-focus,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,0,cubandeclarative-broad-focusMi tia odia la lluvia,0.041892983150900225,1.0621575983878655,1,1.5817
0,5589be79fdf99b18be320155,1,1.6234,0.35339999999999994,cuban,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",55,529.7915,50.83333333333333,1,1,cubaninterrogative-total-ynMi madre come la fruta,0.041892983150900225,1.0621575983878655,1,1.7387
