Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
687d608b7822025981b354ea,5ba5d8b960f3d50001697104,APPROVED,Not Applicable,2025-07-20T21:36:45.813000Z,2025-07-20T21:59:29.395000Z,2025-07-21T01:45:24.642000Z,2025-07-20T21:59:29.897505Z,1364.0,C11IH4PS,5955,I was raised with my native language only,"Washington, DC (District of Columbia) (DC)","Washington, DC (District of Columbia) (DC)",65,Female,White,United States,United States,United States,English,No,Full-Time
687d6116d112d2e382426aa3,678999ae711e51b34f896a93,APPROVED,Not Applicable,2025-07-20T21:35:26.755000Z,2025-07-20T21:52:45.400000Z,2025-07-21T01:45:24.921000Z,2025-07-20T21:52:45.892111Z,1039.0,C11IH4PS,477,I was raised with my native language only,New Jersey (NJ),Vermont (VT),37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
687d613c2c3a0682cc2f0600,6614a5298c82365421d9b0b9,APPROVED,Not Applicable,2025-07-20T21:37:00.007000Z,2025-07-20T22:15:23.191000Z,2025-07-21T01:45:25.235000Z,2025-07-20T22:15:23.585622Z,2304.0,C11IH4PS,1591,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),36,Male,White,United States,United States,United States,English,No,Full-Time
687d61dee701eff83d3f4592,6633e281f08a156a04a3379d,APPROVED,Not Applicable,2025-07-20T21:39:58.898000Z,2025-07-20T21:57:13.290000Z,2025-07-21T01:45:25.519000Z,2025-07-20T21:57:13.750371Z,1035.0,C11IH4PS,2360,I was raised with my native language only,New York (NY),New York (NY),67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
687d62a4ef8b4f1cc1123ee6,6296ecaf7ea72c4951583ffd,APPROVED,Not Applicable,2025-07-20T21:42:10.733000Z,2025-07-20T21:55:03.361000Z,2025-07-21T01:45:25.788000Z,2025-07-20T21:55:03.816560Z,773.0,C11IH4PS,1358,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),41,Male,White,United States,United States,United States,English,No,Full-Time
687d6429251c0aac8f4999b0,5d1e4f1d51bab90018162332,APPROVED,Not Applicable,2025-07-20T21:52:48.954000Z,2025-07-20T22:07:41.124000Z,2025-07-21T01:45:26.043000Z,2025-07-20T22:07:41.530684Z,893.0,C11IH4PS,2659,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),32,Female,White,United States,United States,United States,English,Yes,Full-Time
687d66f144090a1e3913eca7,65c1518e719c0ab7475c4e16,APPROVED,Not Applicable,2025-07-20T22:00:22.134000Z,2025-07-20T22:17:21.693000Z,2025-07-21T01:45:26.338000Z,2025-07-20T22:17:22.096558Z,1020.0,C11IH4PS,976,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),41,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
687d67d62c3a0682cc2f0785,67363452674f3db8059e7888,APPROVED,Not Applicable,2025-07-20T22:04:18.561000Z,2025-07-20T22:21:10.349000Z,2025-07-21T01:45:26.649000Z,2025-07-20T22:21:10.727909Z,1012.0,C11IH4PS,1917,I was raised with my native language only,New York (NY),New York (NY),47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
687d6be2451af1a24be24e55,664644978e90512d006ed6ec,APPROVED,Not Applicable,2025-07-20T22:22:09.714000Z,2025-07-20T22:36:18.812000Z,2025-07-21T01:45:26.915000Z,2025-07-20T22:36:19.252409Z,850.0,C11IH4PS,582,I was raised with my native language only,New York (NY),New York (NY),32,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
687d5b3fecfb66884ac02a68,6630fe529aafd2ed163cfd25,RETURNED,Not Applicable,2025-07-20T21:10:23.850000Z,,,,,,3176,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
