instructions_2afc.started,instructions_2afc.stopped,instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,practice_2afc.started,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,trials_2afc_practice_loop.order,path,correct_response
0.0254,10.6091,0,0,0,0,1,"In the following task you are going to hear a series of utterances. 

  You will decide if the utterances sound like questions or not using your keyboard.", (press the spacebar to continue),676dffbfb0bac3ca797895a7,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_22h41.06.248,empathy_intonation_perc_control,2024.2.4,Win32,60.24096386,676dffbfb0bac3ca797895a7,68817205a84113384fffdfe3,68819d00cf8702eece5c549b,,,,,,,,,
10.6128,15.1873,0,1,1,1,1,"If you believe the utterance is a question, type '1' (for 'yes') and if you do not 
  believe it is a question type '0' (for 'no').

  Let's practice a bit...", (press the spacebar to continue),676dffbfb0bac3ca797895a7,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_22h41.06.248,empathy_intonation_perc_control,2024.2.4,Win32,60.24096386,676dffbfb0bac3ca797895a7,68817205a84113384fffdfe3,68819d00cf8702eece5c549b,,,,,,,,,
,,,,,,,,,676dffbfb0bac3ca797895a7,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_22h41.06.248,empathy_intonation_perc_control,2024.2.4,Win32,60.24096386,676dffbfb0bac3ca797895a7,68817205a84113384fffdfe3,68819d00cf8702eece5c549b,15.2027,0,0,0,7,1,7,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0
